video_id,title,category,popularity_score,embedding
1,Video_1,Category_2,9.0,"[-0.01643064 -0.00460692 -0.01674741 ... -0.01659591 -0.02977623
 -0.02403308]"
2,Video_2,Category_3,9.0,"[-0.02075753 -0.00633717 -0.01747416 ... -0.01658376 -0.02415219
 -0.02352612]"
3,Video_3,Category_1,7.0,"[-0.01384868 -0.00679015 -0.02962974 ... -0.01645202 -0.01948477
 -0.02360449]"
4,Video_4,Category_2,9.0,"[-0.01716292 -0.00352416 -0.0168993  ... -0.02085357 -0.02874823
 -0.02448872]"
5,Video_5,Category_3,9.0,"[-0.02159317 -0.00474714 -0.01510962 ... -0.01195186 -0.01496959
 -0.02977113]"
6,Video_6,Category_1,7.0,"[-0.00631415 -0.01139594 -0.02165643 ... -0.01462225 -0.01071052
 -0.02805367]"
7,Video_7,Category_2,9.0,"[-0.01255944 -0.00480559 -0.02156993 ... -0.01981616 -0.01499676
 -0.02444223]"
8,Video_8,Category_3,9.0,"[-0.01906805 -0.01334208 -0.01658031 ... -0.01610778 -0.01115314
 -0.03060339]"
9,Video_9,Category_1,7.0,"[-0.01019034 -0.01601734 -0.01999405 ... -0.01697009 -0.01616922
 -0.02907975]"
10,Video_10,Category_2,9.0,"[-0.01649421 -0.01580176 -0.01479078 ... -0.02298942 -0.01702048
 -0.02208923]"
999,New AI Video,Category_2,1.0,"[-0.00988818 -0.00367225 -0.02244582 ... -0.02788257 -0.03038432
 -0.01289307]"
